census_tract,county,state,full_fips,median_income,total_population,pct_nonwhite,pct_no_vehicle,pct_poverty
2084.02,Essex,Massachusetts,25009208402,125881,2833,0.19555241793152134,0.12836079791847355,0.09177550300035298
2091,Essex,Massachusetts,25009209100,128898,7105,0.22983814215341314,0.07584905660377358,0.08782547501759325
2092,Essex,Massachusetts,25009209200,174583,5820,0.11855670103092786,0.021586345381526106,0.032474226804123714
2101,Essex,Massachusetts,25009210100,134665,6825,0.09098901098901102,0.005852516582130316,0.056614843062481664
2102,Essex,Massachusetts,25009210200,126349,5371,0.06535095885309994,0.030565461029037188,0.02707856598016781
2103.01,Essex,Massachusetts,25009210301,57188,4791,0.062408682947192706,0.3086900129701686,0.03526927138331573
2103.02,Essex,Massachusetts,25009210302,109098,4849,0.1563208909053413,0.0380952380952381,0.057763300760043435
2104.01,Essex,Massachusetts,25009210401,62188,3325,0.44390977443609025,0.03441011235955056,0.1106766917293233
2104.02,Essex,Massachusetts,25009210402,100114,4337,0.14872031358081628,0.014366021236727046,0.10086388045762316
2105,Essex,Massachusetts,25009210500,130645,7102,0.13024500140805406,0.07559478127398311,0.04226745829799265
2106,Essex,Massachusetts,25009210600,91591,4744,0.218381112984823,0.09479768786127167,0.09127318718381112
2107,Essex,Massachusetts,25009210700,68136,4547,0.4880140752144271,0.1082766439909297,0.12337805146250275
2108,Essex,Massachusetts,25009210800,67184,4261,0.4376906829382774,0.17152961980548187,0.06685633001422475
2109,Essex,Massachusetts,25009210900,82449,4052,0.13351431391905233,0.17476270240089337,0.10075566750629723
2111,Essex,Massachusetts,25009211100,98649,4015,0.11207970112079702,0.05204460966542751,0.07019438444924406
2112.01,Essex,Massachusetts,25009211201,129872,2857,0.04480224011200562,0.0,0.03185159257962898
2112.02,Essex,Massachusetts,25009211202,97228,3646,0.12424574876577066,0.05338932213557288,0.05093612334801762
2113,Essex,Massachusetts,25009211300,124898,7152,0.07732102908277405,0.0975898854207823,0.022126436781609197
2114.01,Essex,Massachusetts,25009211401,100671,4114,0.18449197860962563,0.07757575757575758,0.06511627906976744
2114.02,Essex,Massachusetts,25009211402,130141,6126,0.13516160626836438,0.0385951370127364,0.03740771123872026
2121.01,Essex,Massachusetts,25009212101,186984,4801,0.17038117058946056,0.011650485436893204,0.03561290322580645
2121.02,Essex,Massachusetts,25009212102,149234,4867,0.05588658311074579,0.009714632665452338,0.038832956646805014
2131,Essex,Massachusetts,25009213100,209423,8168,0.07725269343780605,0.0,0.01530362389813908
2141,Essex,Massachusetts,25009214100,162734,6532,0.1471218616044091,0.03924221921515562,0.05085536547433903
2151.01,Essex,Massachusetts,25009215101,138375,4689,0.09490296438473023,0.029981261711430358,0.037513873473917866
2151.02,Essex,Massachusetts,25009215102,134946,2897,0.028995512599240603,0.03451581975071908,0.06731101139109423
2161,Essex,Massachusetts,25009216100,181982,4933,0.10460166227447798,0.0369811320754717,0.03832466465918423
2171.01,Essex,Massachusetts,25009217101,128438,4587,0.12404621757139744,0.14665841584158415,0.17781328463821044
2171.02,Essex,Massachusetts,25009217102,88500,2896,0.18404696132596687,0.18869426751592358,0.044971671388101986
2172.01,Essex,Massachusetts,25009217201,121481,4133,0.07113476893297843,0.04691075514874142,0.04718122429228164
2172.02,Essex,Massachusetts,25009217202,135417,3501,0.09882890602684946,0.04842105263157895,0.019765110283586365
2173,Essex,Massachusetts,25009217300,103261,4921,0.3263564316195895,0.08689175769612711,0.1830928673033936
2174.01,Essex,Massachusetts,25009217401,58457,2503,0.16020775069916104,0.22585330428467684,0.1920129084308189
2174.02,Essex,Massachusetts,25009217402,79056,3450,0.21652173913043482,0.09616423554835224,0.14579710144927535
2175,Essex,Massachusetts,25009217500,98603,6590,0.1303490136570562,0.17626027887021808,0.06832298136645963
2176.01,Essex,Massachusetts,25009217601,118333,4378,0.11854728186386476,0.06491002570694088,0.08534816247582205
2176.02,Essex,Massachusetts,25009217602,240143,5455,0.09825847846012836,0.0,0.09523809523809523
2181,Essex,Massachusetts,25009218100,209052,5386,0.0616412922391385,0.006187529747739172,0.027107315261789826
2201.01,Essex,Massachusetts,25009220101,94125,3952,0.06351214574898789,0.08063687724704674,0.036657267367341706
2201.02,Essex,Massachusetts,25009220102,95444,3021,0.046342270771267846,0.05692883895131086,0.0679708222811671
2211,Essex,Massachusetts,25009221100,100096,3860,0.04844559585492225,0.03923766816143498,0.060637741766858336
2213,Essex,Massachusetts,25009221300,101750,4613,0.028831562974203306,0.045838896306186025,0.030565792326035117
2214,Essex,Massachusetts,25009221400,67443,3889,0.22319362303934176,0.09802586793737236,0.260735407559784
2215,Essex,Massachusetts,25009221500,60938,3256,0.0988943488943489,0.22909305064782096,0.20529393659587566
2216,Essex,Massachusetts,25009221600,56333,2809,0.27589889640441434,0.143646408839779,0.1495194019223923
2217,Essex,Massachusetts,25009221700,61500,2696,0.08308605341246289,0.05015197568389058,0.09235905044510385
2218,Essex,Massachusetts,25009221800,114750,1889,0.0614081524616199,0.0,0.052230046948356805
2219.01,Essex,Massachusetts,25009221901,113929,3446,0.0461404526987812,0.08733333333333333,0.042948345908299476
2219.02,Essex,Massachusetts,25009221902,95513,3372,0.08867141162514824,0.07613868116927261,0.07473309608540925
2221,Essex,Massachusetts,25009222100,133553,3674,0.020413718018508442,0.013062409288824383,0.0844173816772765
2231,Essex,Massachusetts,25009223100,123690,3912,0.07055214723926384,0.0905224787363305,0.07690309171213303
2232,Essex,Massachusetts,25009223200,90893,4046,0.12209589718240232,0.07222844344904815,0.0699456253089471
2233,Essex,Massachusetts,25009223300,139239,5833,0.06034630550317166,0.027548209366391185,0.05606034630550317
2501,Essex,Massachusetts,25009250100,32684,3809,0.8317143607245996,0.4168893639764832,0.29067592839967943
2502,Essex,Massachusetts,25009250200,83491,6831,0.8666373883765188,0.09994597514856834,0.10693215339233038
2503,Essex,Massachusetts,25009250300,55211,2504,0.9652555910543131,0.20681551116333724,0.1896964856230032
2504,Essex,Massachusetts,25009250400,50371,4282,0.958197104156936,0.2589928057553957,0.1914992993928071
2505,Essex,Massachusetts,25009250500,51317,4392,0.9414845173041895,0.18295543393275998,0.2754285714285714
2506,Essex,Massachusetts,25009250600,53228,5933,0.8869037586381258,0.10020040080160321,0.08216161273928511
2507,Essex,Massachusetts,25009250700,66250,5484,0.9266958424507659,0.15342960288808663,0.15681983953318746
2508,Essex,Massachusetts,25009250800,63465,8550,0.8364912280701755,0.22530395136778114,0.15464420847064567
